year,code,name,total_shares,circulating_shares,restricted_shares,profit,industry_74,industry_level2,industry_level3,concept,product,percentage,comparable,export_ratio,domestic_ratio,notes,q1_report,q2_report,q3_report,annual_report,gross_margin,profit_growth,net_asset_ratio,undistributed_cash,bonus_shares,dividend,quarterly_comparison,beishang_initial,beishang_new,beishang_increase,beishang_decrease,beishang_current,gongmu_initial,gongmu_new,gongmu_increase,gongmu_decrease,gongmu_current,waizi_initial,waizi_new,waizi_increase,waizi_decrease,waizi_current,simu_initial,simu_new,simu_increase,simu_decrease,simu_current,shebao_initial,shebao_new,shebao_increase,shebao_decrease,shebao_current,yanglao_initial,yanglao_new,yanglao_increase,yanglao_decrease,yanglao_current,id,created_date,updated_date,created_by_id,created_by,is_sample
"2026","000858","五粮液","383161","383144","16","8.21","白酒","","","","中高档白酒","93.08","","","93.08","","3.83","5.02","5.54","","77.05","","23.35","24.96","","","","","0","0","-902","11046","","0","2","0","2857","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6958165a3df3447cfa91ed35","2026-01-02T19:02:50.237000","2026-01-02T22:53:50.917000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000799","酒鬼酒","32493","32490","3","0.04","白酒","","","","中高白酒","99.36","","0.87","99.13","","0.1","0.03","-0.03","","66.66","","0.30","6.29","","","","","0","0","0","0","","0","97","0","260","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","69581613146a53f18c174608","2026-01-02T19:01:39.797000","2026-01-02T21:16:12.367000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000568","泸州老窖","147194","146927","268","9.18","白酒","","","","中高档白酒","91.45","","0.62","99.38","","3.13","5.21","7.31","","87.54","","30.44","28.09","","","","","0","411","0","3681","","0","0","-308","2660","","0","0","0","0","","1883","0","0","1887","","0","0","0","0","","0","0","0","0","6956095b5c076615109c851a","2026-01-01T05:42:51.081000","2026-01-02T21:12:44.560000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","603919","金徽酒","50726","50726","0","0.77","白酒","","","","白酒","97.54","","","97.53","","0.47","0.59","0.64","","60.92","","11.70","3.87","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fc96eec7b5368a8209f2","2026-01-01T04:48:22.412000","2026-01-03T00:16:14.310000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","603589","口子窖","59812","59812","0","2.76","白酒","","","","白酒","94.22","","","98.18","","1.02","1.20","1.24","","74.59","","16.39","14.48","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fc7309de70f68c8d64ee","2026-01-01T04:47:47.582000","2026-01-03T00:13:28.280000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","603369","今世缘","124680","124680","0","2.74","白酒","","","","白酒","94.15","","","100","","1.32","1.78","2.04","","74.74","","23.74","11.49","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fc54d0497b29c9b44b9b","2026-01-01T04:47:16.899000","2026-01-03T00:13:01.080000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","603198","迎驾贡酒","8000","8000","0","3.24","白酒","","","","白酒","80.26","","","100","","1.04","1.41","1.89","","73.94","","27.91","9.65","","","","","0","0","-271","623","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fc14eec7b5368a820579","2026-01-01T04:46:12.755000","2026-01-03T00:12:23.297000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600809","山西汾酒","121996","121996","0","10.04","白酒","","","","白酒","99.63","","","100","","5.45","6.97","9.35","","76.20","","39.68","29.64","","","","","0","0","-2184","2716","","0","0","-221","2595","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fbe34db797f670cf2a51","2026-01-01T04:45:23.587000","2026-01-03T00:12:05.024000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600779","水井坊","48750","48750","0","2.76","白酒","","","","白酒","87.10","","1.58","91.32","","0.39","0.22","0.67","","82.76","","28.06","8.14","","","","","0","0","-185","907","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fbc53be24ce91944dd8d","2026-01-01T04:44:53.112000","2026-01-03T00:11:41.186000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600702","舍得酒业","33276","33262","14","1.05","白酒","","","","白酒","89.52","","","100","","1.06","1.36","1.44","","65.52","","4.99","18.62","","","","","0","223","0","359","","0","0","-3","129","","0","0","0","0","","0","0","0","0","","133","0","0","133","","0","0","0","0","6955fba6d9995661141124be","2026-01-01T04:44:22.046000","2026-01-03T00:11:14.316000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600696","*ST岩石","33447","33447","0","-0.65","白酒","","","","白酒","91.97","","","100","","-0.06","-0.20","-0.33","","56.96","","-74.80","-0.53","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fb88d9995661141124ad","2026-01-01T04:43:52.913000","2026-01-03T00:10:30.639000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600559","老白干酒","91475","90951","524","0.86","白酒","","","","白酒","51.47","","","100","","0.17","0.35","0.44","","65.95","","15.56","2.71","","","","","0","29","0","489","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","836","","0","0","0","0","6955fb5d243ed179dbb29fa7","2026-01-01T04:43:09.784000","2026-01-03T00:09:52.786000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600519","贵州茅台","125227","125227","0","68.64","白酒","","","","高档白酒","86.03","","3.03","96.93","","21.38","36.18","51.53","","91.93","","36.02","168.39","","","","","0","129","0","5970","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fb3cc4652210d62c02e2","2026-01-01T04:42:36.595000","2026-01-03T00:09:16.539000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600238","*ST椰岛","44820","44527","293","-0.3","白酒","","","","白酒","78.94","","","100","","-0.01","-0.04","-0.02","","30.71","","-78.45","-1.31","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fb074bd10da9efdf250e","2026-01-01T04:41:43.923000","2026-01-02T23:13:34.650000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600199","金种子酒","65780","65780","0","-0.39","白酒","","","","白酒","84.89","","","100","","-0.06","-0.11","-0.15","","34.94","","-10.93","0.16","","","","","0","72","0","270","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fadc6a4d4bf33dc141c1","2026-01-01T04:41:00.988000","2026-01-02T23:11:11.410000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600197","伊力特","47317","47317","0","0.61","白酒","","","","白酒","99.52","","","100","","0.31","0.34","0.29","","52.28","","7.43","4.12","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6955fab5377b3dd4d57e64c6","2026-01-01T04:40:21.510000","2026-01-02T23:08:29.902000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002646","天佑德酒","47911","47593","318","0.09","白酒","","","","青稞白酒","84.63","","0.52","99.48","","0.14","0.11","0.05","","59.84","","1.50","1.87","","","","","0","0","-76","217","","0","0","0","0","","0","0","0","0","","0","203","0","575","","0","0","0","0","","0","0","0","0","6954add97cc5745435435443","2025-12-31T05:00:09.955000","2026-01-02T23:05:55.519000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002304","洋河股份","150645","150641","0","4.43","白酒","","","","白酒","97.96","","","100","","2.41","2.88","2.64","","73.16","","12.07","3.12","","","","","0","0","-115","1931","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","6954ab6dd52896a1e5ecbf41","2025-12-31T04:49:49.923000","2026-01-02T23:02:58.958000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002304","洋河股份","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","69547f06cf92e71969ae4042","2025-12-31T01:40:22.720000","2025-12-31T01:40:22.720000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002304","洋河股份","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","69547c7fdc1d7b1c33d4b86a","2025-12-31T01:29:35.115000","2025-12-31T01:29:35.115000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000977","浪潮信息","146848","146683","164","1.56","IT设备","电脑硬件","电子","","服务器","93.88","","0","100","","0.31","0.54","1.01","","11.16","","12.06","8.11","","","","0","0","0","-1617","3035","0","0","0","-99","2109","0","0","0","0","0","0","0","0","0","0","0","670","0","0","670","0","0","0","0","0","694f7d4f36b13e4a3fc3fe91","2025-12-27T06:31:43.889000","2025-12-29T05:02:17.302000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000977","浪潮信息","146848","146683","164","0","IT设备","电脑硬件","电子","","服务器","93.88","","0","100","","0.31","0.54","1.0067","","11.16","","12.06","8.11","","","","","0","0","-1617.31","3034.71","","0","0","0","0","","0","0","0","0","","0","0","0","0","","670","0","0","0","","0","0","0","0","694f7d4fb833e91d5a84b384","2025-12-27T06:31:43.856000","2025-12-27T06:31:43.856000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","000066","中国长城","322580","322559","21","-0.459","IT设备","电脑硬件","计算产业","","计算产业","80.86","","27.45","72.56","","-0.05","0.04","0.01","","25.21","","0.92","0.75","","","","0","0","467","0","4301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","719","0","0","0","0","0","0","0","0","0","0","694f7a0f3cd558ce92b3c7f3","2025-12-27T06:17:51.332000","2025-12-29T03:18:49.896000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","688636","智明达","17391","16763","628","0.17","IT设备","电脑硬件","","","机载嵌入式计算机","67.72","","0","100","","0.07","0.23","0.49","","42.55","","0.75","2.95","","","","0","0","0","0","0","0","0","0","0","40","0","0","0","0","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694f781c781413839754df81","2025-12-27T06:09:32.405000","2025-12-29T03:42:51.301000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","688489","三未信安","11521","11374","147","0.37","IT设备","电脑硬件","","","密码整机","70.98","","0","100","","-0.3","-0.26","-0.34","","72.92","","15.85","1.78","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694f77eb6b95c1a380af84d1","2025-12-27T06:08:43.321000","2025-12-29T03:43:12.442000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","603019","中科曙光","146312","146271","41","1.31","IT设备","电脑硬件","","","IT设备","88.79","","0","100","","0.13","0.5","0.66","","26.26","","9.81","5.22","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3054","3","0","4357","0","0","0","0","0","0","0","0","0","0","694f77ad7d97cd6139007efa","2025-12-27T06:07:41.873000","2025-12-29T04:59:22.388000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","600100","同方股份","335030","335030","0","0.04","IT设备","电脑硬件","智慧能源、核技术应用、数字信息","","智慧能源、核技术应用、数字信息","93.32","","0","100","","-0.09","-0.08","0.1","","17.76","","0.914","0.56","","","","","0","0","-291","2407","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","694f777a62b90784616a56d9","2025-12-27T06:06:50.601000","2025-12-29T04:45:25.888000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","301503","智迪科技","8000","3248","4752","1.44","IT设备","电脑存储","消费电子","","键盘和鼠标套装","96.09","","6.62","92.04","","0.34","0.64","0.96","","19.07","","11.21","4.58","","","","0","0","0","0","0","0","141","0","0","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694f7751060b74e5b11d2647","2025-12-27T06:06:09.874000","2025-12-29T04:58:48.362000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","301308","江波龙","41915","27440","14475","1.2","IT设备","电脑硬件","","","存储产品","99.99","","68.89","31.11","","-0.37","0.04","1.71","","8.19","","7.92","5.79","","","","","0","485","0","611","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","694f771fcdc15cabd8b304f9","2025-12-27T06:05:19.402000","2025-12-29T04:36:20.791000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","300386","飞天诚信","41804","25076","16729","-0.18","IT设备","电脑存储","智能终端和身份证","","智能终端和身份证","77.54","","54.64","45.36","","0.05","0.01","0.02","","32.98","","-5.13","1.39","","","","0","108","0","0","108","0","0","166","0","356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694f76ef5e5d89d292cc645f","2025-12-27T06:04:31.222000","2025-12-29T04:58:28.778000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","300302","同有科技","47926","36881","11045","-0.58","IT设备","电脑存储","消费电子","","数据和固态存储","100","","0","100","","-0.05","-0.04","0.02","","45.63","","-23.44","-0.4","","","","","0","323","0","460","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","694f76c5e6e4056fd68ef41b","2025-12-27T06:03:49.371000","2025-12-29T04:26:51.243000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","300042","朗科科技","20040","20038","2","-0.5","IT设备","电脑存储","计算机通信","","闪存应用产品","72.82","","56.48","43.52","","-0.06","-0.09","-0.14","","10.35","","5.15","1.08","","","","0","278","0","0","278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694f768ce194e9a31f655933","2025-12-27T06:02:52.997000","2026-01-01T02:26:49.651000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002577","雷柏科技","28176","28174","2","0.13","IT设备","电脑存储","消费电子","","其他无线产品","89.91","","31.62","68.38","","0.03","0.05","0.03","","27.03","","3.14","-0.19","","","","","0","66","0","126","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","694f765c9f14ca956208f531","2025-12-27T06:02:04.622000","2025-12-29T04:17:34.338000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002268","电科网安","84564","84530","34","0.19","IT设备","电脑硬件","数据与网络安全","","网络安全和密码产品","96.38","","0","100","","-0.16","-0.21","-0.25","","36.68","","2.83","2.18","","","","","0","222","0","1573","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","694f7625dab37dd7a8dce931","2025-12-27T06:01:09.117000","2025-12-29T04:12:46.036000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002152","广电运通","248338","248213","125","0.37","IT设备","电脑硬件","","","智能设备","48.34","","12.24","87.76","","0.10","0.19","0.24","","38.22","","7.49","2.57","","","","","0","1092","0","4135","","0","977","0","2020","","0","0","0","0","","0","0","0","0","","0","0","-78","1092","","0","0","0","0","694f75f2ec4b8cd2810d5eb9","2025-12-27T06:00:18.285000","2025-12-29T04:07:33.459000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","002152","广电运通","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","","0","0","0","0","694f759aec4b8cd2810d5e82","2025-12-27T05:58:50.676000","2025-12-27T05:58:50.676000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","001229","魅视科技","10000","2500","7500","0.8","IT设备","电脑硬件","专业视听","","专业视听产品","91.38","","8.47","91.53","","0.06","0.19","0.4","","77.47","","8.14","2.6","","","","","0","0","0","0","","0","0","0","0","","0","0","0","0","","43","0","0","43","","0","0","0","0","","0","0","0","0","694f75312dd80bd26c9940cc","2025-12-27T05:57:05.702000","2025-12-29T03:48:53.713000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2027","001356","富岭股份","58932","12523","46409","0","化工","","塑料制品","","塑料餐饮具","80","上海科技","55","45","一切正常","0.10","0.15","0.30","0.8","20","3.92","13","0.12","上市未送股","2次派现","","","120","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","694dd45e4dc96ec8e2f81948","2025-12-26T00:18:38.560000","2025-12-26T00:18:38.560000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","001286","陕西能源","0","0","0","0","电力","","电力业务","","电力业务","73.39","","","","","","","","","","","","","","","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","694dcc820cee398c7d92906d","2025-12-25T23:45:06.088000","2025-12-25T23:45:06.088000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","001356","富岭股份","58932","12523","46409","0","化工","","塑料制品","","塑料餐饮具","68.89","上海科技","60","40","关注该公司财务问题","0.06","0.12","0.14","0.6","18.50","3.92","13","0.12","上市未送股","2次派现","","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","694c28e3121d6ac4e2badedb","2025-12-24T17:54:43.721000","2025-12-26T01:24:51.979000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","001335","信凯科技","9374","2343","7030","0","化工","","化工","","偶氮顔料","65.59","","","","","0.33","0.70","0.77","","14.57","7.71","","","上市未送股","多次派现","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","694c27a5fe44f12016d98b2a","2025-12-24T17:49:25.384000","2025-12-24T18:19:05.739000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2026","001333","光华股份","12800","4400","8400","0","化工","","聚酯树酯","","户外聚酯树酯","84.58","","","","","0.2","0.39","0.62","","13.43","4.63","","","上市未送股","多次派现","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","","0","0","0","","694c26835fc676668b7121dc","2025-12-24T17:44:35.606000","2025-12-25T23:41:33.513000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001332","横华股份","10800","2700","8100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f87","2025-12-24T07:39:52.157000","2025-12-31T23:13:40.694000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001299","美晨生态","18758","4690","14068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f72","2025-12-24T07:39:52.157000","2025-12-31T23:31:25.628000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001368","柏致集团","0","0","0","","日用品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f94","2025-12-24T07:39:52.157000","2025-12-24T16:48:28.376000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001360","物产中拓","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f91","2025-12-24T07:39:52.157000","2025-12-31T23:13:40.896000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001336","楚天科技","8031","2009","6028","","建筑工程","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f8a","2025-12-24T07:39:52.157000","2025-12-24T16:48:28.376000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001319","双箭科技","14140","2968","6172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f7e","2025-12-24T07:39:52.157000","2025-12-31T23:32:11.432000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001872","招商港口","192337","59383","114866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813fa4","2025-12-24T07:39:52.157000","2026-01-01T00:14:11.203000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001288","运机集团","16000","4000","12000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f6e","2025-12-24T07:39:52.157000","2025-12-31T23:13:40.297000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001390","立晟材料","0","0","0","","服装","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f9f","2025-12-24T07:39:52.157000","2025-12-24T16:48:28.376000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001317","三羊马","8004","2001","6003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f7c","2025-12-24T07:39:52.157000","2026-01-01T00:24:45.494000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
"2025","001379","横县科技","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694b98c8daf77f5850813f98","2025-12-24T07:39:52.157000","2025-12-31T23:13:41.091000","694b6fc501e2c5bd08733b4c","zhouhongyu800@gmail.com","false"
